"cn","c0","c0t","c0_class_realm","c1","c1_class_biome","c2","ct","c2_class_ecosystem_functional_group","c3","c3_class_occurrence","raster","vector","tname","note"
51042,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",4,"TF1.4","Seasonal floodplain marshes",2,"minor","TF1.4.web.map_v1.0.tif","TF1.4.web.map_v1.0.json","tf1_4_web_map_v1_0",NULL
51051,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",5,"TF1.5","Episodic arid floodplains",1,"major","TF1.5.web.map_v2.0.tif","TF1.5.web.map_v2.0.json","tf1_5_web_map_v2_0",NULL
51052,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",5,"TF1.5","Episodic arid floodplains",2,"minor","TF1.5.web.map_v2.0.tif","TF1.5.web.map_v2.0.json","tf1_5_web_map_v2_0",NULL
51061,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",6,"TF1.6","Boreal, temperate and montane peat bogs",1,"major","TF1.6.web.orig_v1.0.tif","TF1.6.web.orig_v1.0.json","tf1_6_web_orig_v1_0",NULL
51062,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",6,"TF1.6","Boreal, temperate and montane peat bogs",2,"minor","TF1.6.web.orig_v1.0.tif","TF1.6.web.orig_v1.0.json","tf1_6_web_orig_v1_0",NULL
51071,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",7,"TF1.7","Boreal and temperate fens",1,"major","TF1.7.web.orig_v1.0.tif","TF1.7.web.orig_v1.0.json","tf1_7_web_orig_v1_0",NULL
51072,5,"TF","Freshwater-Terrestrial",1,"Palustrine wetlands",7,"TF1.7","Boreal and temperate fens",2,"minor","TF1.7.web.orig_v1.0.tif","TF1.7.web.orig_v1.0.json","tf1_7_web_orig_v1_0",NULL
61011,6,"F","Freshwater",1,"Rivers and streams",1,"F1.1","Permanent upland streams",1,"major","F1.1.web.mix_v2.0.tif","F1.1.web.mix_v2.0.json","f1_1_web_mix_v2_0",NULL
61012,6,"F","Freshwater",1,"Rivers and streams",1,"F1.1","Permanent upland streams",2,"minor","F1.1.web.mix_v2.0.tif","F1.1.web.mix_v2.0.json","f1_1_web_mix_v2_0",NULL
61021,6,"F","Freshwater",1,"Rivers and streams",2,"F1.2","Permanent lowland rivers",1,"major","F1.2.web.map_v1.0.tif","F1.2.web.map_v1.0.json","f1_2_web_map_v1_0",NULL
61022,6,"F","Freshwater",1,"Rivers and streams",2,"F1.2","Permanent lowland rivers",2,"minor","F1.2.web.map_v1.0.tif","F1.2.web.map_v1.0.json","f1_2_web_map_v1_0",NULL
61031,6,"F","Freshwater",1,"Rivers and streams",3,"F1.3","Freeze-thaw rivers and streams",1,"major","F1.3.web.map_v1.0.tif","F1.3.web.map_v1.0.json","f1_3_web_map_v1_0",NULL
