"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"|"v_sqkm"|"r_sqkm"|"old_first_level_code"|"geom"
20029|"Azores Canaries Madeira"|3|"Lusitanian"|2|"Temperate Northern Atlantic"|"meow"|"23414.7431478335"|"23414.80908538884"|20029|NULL
20030|"Adriatic Sea"|4|"Mediterranean Sea"|2|"Temperate Northern Atlantic"|"meow"|"107271.251005632"|"107272.283536006"|20030|NULL
20037|"Gulf of St. Lawrence - Eastern Scotian Shelf"|5|"Cold Temperate Northwest Atlantic"|2|"Temperate Northern Atlantic"|"meow"|"239408.070297613"|"239453.86886552878"|20037|NULL
20038|"Southern Grand Banks - South Newfoundland"|5|"Cold Temperate Northwest Atlantic"|2|"Temperate Northern Atlantic"|"meow"|"248870.385441773"|"248890.77452593745"|20038|NULL
20039|"Scotian Shelf"|5|"Cold Temperate Northwest Atlantic"|2|"Temperate Northern Atlantic"|"meow"|"108790.417496141"|"108718.11362804224"|20039|NULL
20041|"Virginian"|5|"Cold Temperate Northwest Atlantic"|2|"Temperate Northern Atlantic"|"meow"|"156558.966544659"|"156559.73567722534"|20041|NULL
20043|"Northern Gulf of Mexico"|6|"Warm Temperate Northwest Atlantic"|2|"Temperate Northern Atlantic"|"meow"|"263962.175331892"|"264047.1107235273"|20043|NULL
20044|"Black Sea"|7|"Black Sea"|2|"Temperate Northern Atlantic"|"meow"|"170309.369518721"|"170312.05052091257"|20044|NULL
20045|"Sea of Okhotsk"|8|"Cold Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"666110.659204967"|"666112.4417883002"|20045|NULL
20047|"Oyashio Current"|8|"Cold Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"80304.5093182806"|"80295.82030038598"|20047|NULL
20048|"Northeastern Honshu"|8|"Cold Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"38468.2708907391"|"38468.156996411235"|20048|NULL
20049|"Sea of Japan"|8|"Cold Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"247423.477522952"|"247442.58762667226"|20049|NULL
20050|"Yellow Sea"|8|"Cold Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"437308.652224664"|"437314.39649278653"|20050|NULL
20051|"Central Kuroshio Current"|9|"Warm Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"93445.5141100671"|"93441.36204349731"|20051|NULL
20052|"East China Sea"|9|"Warm Temperate Northwest Pacific"|3|"Temperate Northern Pacific"|"meow"|"570339.657663196"|"570348.1192587963"|20052|NULL
20053|"Aleutian Islands"|10|"Cold Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"84766.4396381575"|"84765.44945628595"|20053|NULL
20054|"Gulf of Alaska"|10|"Cold Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"258051.879936723"|"258051.86468350436"|20054|NULL
20060|"Cortezian"|11|"Warm Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"109674.098709853"|"109673.98273669208"|20060|NULL
20061|"Magdalena Transition"|11|"Warm Temperate Northeast Pacific"|3|"Temperate Northern Pacific"|"meow"|"28676.3717537852"|"28676.392395788407"|20061|NULL
20062|"Bermuda"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"915.978727882197"|"916.0579395016538"|20062|NULL
20063|"Bahamian"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"163314.474724713"|"163314.1892007494"|20063|NULL
20064|"Eastern Caribbean"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"44456.8459237311"|"44456.99148778845"|20064|NULL
20065|"Greater Antilles"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"126732.369232138"|"126730.80544382018"|20065|NULL
20066|"Southern Caribbean"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"119975.846840714"|"119981.40051599604"|20066|NULL
20067|"Southwestern Caribbean"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"172946.628605025"|"172947.5545396201"|20067|NULL
20068|"Western Caribbean"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"40864.2748124979"|"40862.41213433625"|20068|NULL
20069|"Southern Gulf of Mexico"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"216908.253817526"|"216908.75727985884"|20069|NULL
20070|"Floridian"|12|"Tropical Northwestern Atlantic"|4|"Tropical Atlantic"|"meow"|"128228.791709004"|"128145.39028439195"|20070|NULL
